metabolite_id,metabolite_name
HMDB0000229,Nicotinamide ribotide
HMDB0000286,Uridine diphosphate glucose
HMDB0000288,Uridine 5'-monophosphate
HMDB0000902,NAD
HMDB0001132,Nicotinic acid mononucleotide
HMDB0001134,Phosphoadenosine phosphosulfate
HMDB0001179,Nicotinic acid adenine dinucleotide
HMDB0001248,FAD
HMDB0001373,Dephospho-CoA
HMDB0001416,Pantetheine 4'-phosphate
HMDB0001448,Sulfate
HMDB0001487,NADH
HMDB0001586,Glucose 1-phosphate
HMDB0001295,2-Hydroxyphytanoyl-CoA
HMDB0001359,Phytanoyl-CoA
HMDB0000073,Dopamine
HMDB0000216,Norepinephrine
HMDB0001842,Guanidine
HMDB0013862,N-desmethylimatinib
HMDB0014351,Reserpine
HMDB0014387,Cladribine
HMDB0014425,Disopyramide
HMDB0014509,Grepafloxacin
HMDB0014557,Pramipexole
HMDB0014644,Cimetidine
HMDB0014656,Cisplatin
HMDB0014710,Vinblastine
HMDB0014732,Amiloride
HMDB0015043,Cocaine
HMDB0015050,Phenformin
HMDB0015051,Amantadine
HMDB0015061,Phenoxybenzamine
HMDB0015122,Cytarabine
HMDB0015166,Probenecid
HMDB0015169,Procainamide
HMDB0015177,Memantine
HMDB0015235,Quinacrine
HMDB0015282,Desipramine
HMDB0015520,Oxprenolol
HMDB0251382,Dimethylamino
HMDB0000036,Taurocholic acid
HMDB0000097,Choline
HMDB0000273,Thymidine
HMDB0001256,Spermine
HMDB0001257,Spermidine
HMDB0013961,O-Desmethylverapamil (D-702)
HMDB0014365,Nelfinavir
HMDB0014369,Indinavir
HMDB0014550,Gentian Violet
HMDB0014620,Chlorpromazine
HMDB0014661,Caspofungin
HMDB0014821,Midazolam
HMDB0014866,Rocuronium
HMDB0014925,Aciclovir
HMDB0015139,Ganciclovir
HMDB0015324,Acebutolol
HMDB0015330,Tubocurarine
HMDB0015362,Saquinavir
HMDB0015430,Pancuronium
HMDB0015432,Vecuronium
HMDB0015552,Acepromazine
HMDB0015558,Pipotiazine
HMDB0015559,Thioproperazine
HMDB0015560,Thiothixene
HMDB0000019,alpha-Ketoisovaleric acid
HMDB0000148,L-Glutamic acid
HMDB0000172,L-Isoleucine
HMDB0000491,3-Methyl-2-oxovaleric acid
HMDB0000687,L-Leucine
HMDB0000695,Ketoleucine
HMDB0000883,L-Valine
HMDB0001919,Famotidine
HMDB0000162,L-Proline
HMDB0000725,4-Hydroxyproline
HMDB0000900,Ergocalciferol
HMDB0001903,Calcitriol
HMDB0003550,Calcidiol
HMDB0006225,Ercalcitriol
HMDB0015504,Alfacalcidol
HMDB0014602,Acitretin
HMDB0000607,Cyanocobalamin
HMDB0000608,Cobalt
HMDB0002174,Cobalamin
HMDB0002308,Hydroxocobalamin
HMDB0000295,Uridine 5'-diphosphate
HMDB0000302,Uridine diphosphategalactose
HMDB0249118,beta-D-galactosyl
HMDB0001349,Selenium
HMDB0003288,Selenocysteine
HMDB0000121,Folic acid
HMDB0000235,Thiamine
HMDB0001893,alpha-Tocopherol
HMDB0001926,17a-Ethynylestradiol
HMDB0015179,Rifampin
HMDB0015351,Rifaximin
HMDB0030463,Hyperforin
HMDB0257225,Rifampicin
HMDB0000305,Vitamin A
HMDB0001358,Retinal
HMDB0001140,Octanal
HMDB0001852,all-trans-Retinoic acid
HMDB0002369,9-cis-Retinoic acid
HMDB0003366,Propanal
HMDB0006218,9-cis-Retinal
HMDB0006219,13-cis-Retinoic acid
HMDB0011623,Decanal
HMDB0000564,PC(16:0/16:0)
HMDB0000593,PC(18:1(9Z)/18:1(9Z))
HMDB0003598,Retinyl ester
HMDB0003648,Retinyl palmitate
HMDB0006216,11-cis-Retinol
HMDB0007866,PC(14:0/14:0)
HMDB0007867,PC(14:0/14:1(9Z))
HMDB0007868,PC(14:0/15:0)
HMDB0007869,PC(14:0/16:0)
HMDB0007870,PC(14:0/16:1(9Z))
HMDB0007871,PC(14:0/18:0)
HMDB0007872,PC(14:0/18:1(11Z))
HMDB0007873,PC(14:0/18:1(9Z))
HMDB0007874,"PC(14:0/18:2(9Z,12Z))"
HMDB0007875,"PC(14:0/18:3(6Z,9Z,12Z))"
HMDB0007876,"PC(14:0/18:3(9Z,12Z,15Z))"
HMDB0007877,"PC(14:0/18:4(6Z,9Z,12Z,15Z))"
HMDB0007878,PC(14:0/20:0)
HMDB0007879,PC(14:0/20:1(11Z))
HMDB0007880,"PC(14:0/20:2(11Z,14Z))"
HMDB0007881,"PC(14:0/20:3(5Z,8Z,11Z))"
HMDB0007882,"PC(14:0/20:3(8Z,11Z,14Z))"
HMDB0007883,"PC(14:0/20:4(5Z,8Z,11Z,14Z))"
HMDB0007884,"PC(14:0/20:4(8Z,11Z,14Z,17Z))"
HMDB0007885,"PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z))"
HMDB0007886,PC(14:0/22:0)
HMDB0007887,PC(14:0/22:1(13Z))
HMDB0007888,"PC(14:0/22:2(13Z,16Z))"
HMDB0007889,"PC(14:0/22:4(7Z,10Z,13Z,16Z))"
HMDB0007890,"PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z))"
HMDB0007891,"PC(14:0/22:5(7Z,10Z,13Z,16Z,19Z))"
HMDB0007892,"PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB0007893,PC(14:0/24:0)
HMDB0007894,PC(14:0/24:1(15Z))
HMDB0007895,PC(14:0/P-16:0)
HMDB0007896,PC(14:0/P-18:0)
HMDB0007897,PC(14:0/P-18:1(11Z))
HMDB0007898,PC(14:0/P-18:1(9Z))
HMDB0007899,PC(14:1(9Z)/14:0)
HMDB0007900,PC(14:1(9Z)/14:1(9Z))
HMDB0007901,PC(14:1(9Z)/15:0)
HMDB0007902,PC(14:1(9Z)/16:0)
HMDB0007903,PC(14:1(9Z)/16:1(9Z))
HMDB0007904,PC(14:1(9Z)/18:0)
HMDB0007905,PC(14:1(9Z)/18:1(11Z))
HMDB0007906,PC(14:1(9Z)/18:1(9Z))
HMDB0007907,"PC(14:1(9Z)/18:2(9Z,12Z))"
HMDB0007908,"PC(14:1(9Z)/18:3(6Z,9Z,12Z))"
HMDB0007909,"PC(14:1(9Z)/18:3(9Z,12Z,15Z))"
HMDB0007910,"PC(14:1(9Z)/18:4(6Z,9Z,12Z,15Z))"
HMDB0007911,PC(14:1(9Z)/20:0)
HMDB0007912,PC(14:1(9Z)/20:1(11Z))
HMDB0007913,"PC(14:1(9Z)/20:2(11Z,14Z))"
HMDB0007914,"PC(14:1(9Z)/20:3(5Z,8Z,11Z))"
HMDB0007915,"PC(14:1(9Z)/20:3(8Z,11Z,14Z))"
HMDB0007916,"PC(14:1(9Z)/20:4(5Z,8Z,11Z,14Z))"
HMDB0007917,"PC(14:1(9Z)/20:4(8Z,11Z,14Z,17Z))"
HMDB0007918,"PC(14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
HMDB0007919,PC(14:1(9Z)/22:0)
HMDB0007920,PC(14:1(9Z)/22:1(13Z))
HMDB0007921,"PC(14:1(9Z)/22:2(13Z,16Z))"
HMDB0007922,"PC(14:1(9Z)/22:4(7Z,10Z,13Z,16Z))"
HMDB0007923,"PC(14:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
HMDB0007924,"PC(14:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
HMDB0007925,"PC(14:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB0007926,PC(14:1(9Z)/24:0)
HMDB0007927,PC(14:1(9Z)/24:1(15Z))
HMDB0007928,PC(14:1(9Z)/P-16:0)
HMDB0007929,PC(14:1(9Z)/P-18:0)
HMDB0007930,PC(14:1(9Z)/P-18:1(11Z))
HMDB0007931,PC(14:1(9Z)/P-18:1(9Z))
HMDB0007932,PC(15:0/14:0)
HMDB0007933,PC(15:0/14:1(9Z))
HMDB0007934,PC(15:0/15:0)
HMDB0007935,PC(15:0/16:0)
HMDB0007936,PC(15:0/16:1(9Z))
HMDB0007937,PC(15:0/18:0)
HMDB0007938,PC(15:0/18:1(11Z))
HMDB0007939,PC(15:0/18:1(9Z))
HMDB0007940,"PC(15:0/18:2(9Z,12Z))"
HMDB0007941,"PC(15:0/18:3(6Z,9Z,12Z))"
HMDB0007942,"PC(15:0/18:3(9Z,12Z,15Z))"
HMDB0007943,"PC(15:0/18:4(6Z,9Z,12Z,15Z))"
HMDB0007944,PC(15:0/20:0)
HMDB0007945,PC(15:0/20:1(11Z))
HMDB0007946,"PC(15:0/20:2(11Z,14Z))"
HMDB0007947,"PC(15:0/20:3(5Z,8Z,11Z))"
HMDB0007948,"PC(15:0/20:3(8Z,11Z,14Z))"
HMDB0007949,"PC(15:0/20:4(5Z,8Z,11Z,14Z))"
HMDB0007950,"PC(15:0/20:4(8Z,11Z,14Z,17Z))"
HMDB0007951,"PC(15:0/20:5(5Z,8Z,11Z,14Z,17Z))"
HMDB0007952,PC(15:0/22:1(13Z))
HMDB0007953,PC(15:0/22:0)
HMDB0007954,"PC(15:0/22:2(13Z,16Z))"
HMDB0007955,"PC(15:0/22:4(7Z,10Z,13Z,16Z))"
HMDB0007956,"PC(15:0/22:5(4Z,7Z,10Z,13Z,16Z))"
HMDB0007957,"PC(15:0/22:5(7Z,10Z,13Z,16Z,19Z))"
HMDB0007958,"PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB0007959,PC(15:0/24:0)
HMDB0007960,PC(15:0/24:1(15Z))
HMDB0007961,PC(15:0/P-16:0)
HMDB0007962,PC(15:0/P-18:0)
HMDB0007963,PC(15:0/P-18:1(11Z))
HMDB0007964,PC(15:0/P-18:1(9Z))
HMDB0007965,PC(16:0/14:0)
HMDB0007966,PC(16:0/14:1(9Z))
HMDB0007967,PC(16:0/15:0)
HMDB0007969,PC(16:0/16:1(9Z))
HMDB0007970,PC(16:0/18:0)
HMDB0007971,PC(16:0/18:1(11Z))
HMDB0007972,PC(16:0/18:1(9Z))
HMDB0007973,"PC(16:0/18:2(9Z,12Z))"
HMDB0007974,"PC(16:0/18:3(6Z,9Z,12Z))"
HMDB0007975,"PC(16:0/18:3(9Z,12Z,15Z))"
HMDB0007976,"PC(16:0/18:4(6Z,9Z,12Z,15Z))"
HMDB0007977,PC(16:0/20:0)
HMDB0007978,PC(16:0/20:1(11Z))
HMDB0007979,"PC(16:0/20:2(11Z,14Z))"
HMDB0007980,"PC(16:0/20:3(5Z,8Z,11Z))"
HMDB0007981,"PC(16:0/20:3(8Z,11Z,14Z))"
HMDB0007982,"PC(16:0/20:4(5Z,8Z,11Z,14Z))"
HMDB0007983,"PC(16:0/20:4(8Z,11Z,14Z,17Z))"
HMDB0007984,"PC(16:0/20:5(5Z,8Z,11Z,14Z,17Z))"
HMDB0007985,PC(16:0/22:0)
HMDB0007986,PC(16:0/22:1(13Z))
HMDB0007987,"PC(16:0/22:2(13Z,16Z))"
HMDB0007988,"PC(16:0/22:4(7Z,10Z,13Z,16Z))"
HMDB0007989,"PC(16:0/22:5(4Z,7Z,10Z,13Z,16Z))"
HMDB0007990,"PC(16:0/22:5(7Z,10Z,13Z,16Z,19Z))"
HMDB0007991,"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB0007992,PC(16:0/24:0)
HMDB0007993,PC(16:0/24:1(15Z))
HMDB0007994,PC(16:0/P-16:0)
HMDB0007995,PC(16:0/P-18:0)
HMDB0007996,PC(16:0/P-18:1(11Z))
HMDB0007997,PC(16:0/P-18:1(9Z))
HMDB0007998,PC(16:1(9Z)/14:0)
HMDB0007999,PC(16:1(9Z)/14:1(9Z))
HMDB0008000,PC(16:1(9Z)/15:0)
HMDB0008001,PC(16:1(9Z)/16:0)
HMDB0008002,PC(16:1(9Z)/16:1(9Z))
HMDB0008003,PC(16:1(9Z)/18:0)
HMDB0008004,PC(16:1(9Z)/18:1(11Z))
HMDB0008005,PC(16:1(9Z)/18:1(9Z))
HMDB0008006,"PC(16:1(9Z)/18:2(9Z,12Z))"
HMDB0008007,"PC(16:1(9Z)/18:3(6Z,9Z,12Z))"
HMDB0008008,"PC(16:1(9Z)/18:3(9Z,12Z,15Z))"
HMDB0008009,"PC(16:1(9Z)/18:4(6Z,9Z,12Z,15Z))"
HMDB0008010,PC(16:1(9Z)/20:0)
HMDB0008011,PC(16:1(9Z)/20:1(11Z))
HMDB0008012,"PC(16:1(9Z)/20:2(11Z,14Z))"
HMDB0008013,"PC(16:1(9Z)/20:3(5Z,8Z,11Z))"
HMDB0008014,"PC(16:1(9Z)/20:3(8Z,11Z,14Z))"
HMDB0008015,"PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))"
HMDB0008016,"PC(16:1(9Z)/20:4(8Z,11Z,14Z,17Z))"
HMDB0008017,"PC(16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
HMDB0008018,PC(16:1(9Z)/22:0)
HMDB0008019,PC(16:1(9Z)/22:1(13Z))
HMDB0008020,"PC(16:1(9Z)/22:2(13Z,16Z))"
HMDB0008021,"PC(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))"
HMDB0008022,"PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
HMDB0008023,"PC(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB0008024,"PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
HMDB0008025,PC(16:1(9Z)/24:0)
HMDB0008026,PC(16:1(9Z)/24:1(15Z))
HMDB0008027,PC(16:1(9Z)/P-16:0)
HMDB0008028,PC(16:1(9Z)/P-18:0)
HMDB0008029,PC(16:1(9Z)/P-18:1(11Z))
HMDB0008030,PC(16:1(9Z)/P-18:1(9Z))
HMDB0008031,PC(18:0/14:0)
HMDB0008032,PC(18:0/14:1(9Z))
HMDB0008033,PC(18:0/15:0)
HMDB0008034,PC(18:0/16:0)
HMDB0008035,PC(18:0/16:1(9Z))
HMDB0008036,PC(18:0/18:0)
HMDB0008037,PC(18:0/18:1(11Z))
HMDB0008038,PC(18:0/18:1(9Z))
HMDB0008039,"PC(18:0/18:2(9Z,12Z))"
HMDB0008040,"PC(18:0/18:3(6Z,9Z,12Z))"
HMDB0008041,"PC(18:0/18:3(9Z,12Z,15Z))"
HMDB0008042,"PC(18:0/18:4(6Z,9Z,12Z,15Z))"
HMDB0008043,PC(18:0/20:0)
HMDB0008044,PC(18:0/20:1(11Z))
HMDB0008045,"PC(18:0/20:2(11Z,14Z))"
HMDB0008046,"PC(18:0/20:3(5Z,8Z,11Z))"
HMDB0008047,"PC(18:0/20:3(8Z,11Z,14Z))"
HMDB0008048,"PC(18:0/20:4(5Z,8Z,11Z,14Z))"
HMDB0008049,"PC(18:0/20:4(8Z,11Z,14Z,17Z))"
HMDB0008050,"PC(18:0/20:5(5Z,8Z,11Z,14Z,17Z))"
HMDB0008051,PC(18:0/22:0)
HMDB0008052,PC(18:0/22:1(13Z))
HMDB0008053,"PC(18:0/22:2(13Z,16Z))"
HMDB0008054,"PC(18:0/22:4(7Z,10Z,13Z,16Z))"
HMDB0008055,"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))"
HMDB0008056,"PC(18:0/22:5(7Z,10Z,13Z,16Z,19Z))"
HMDB0008057,"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB0008058,PC(18:0/24:0)
HMDB0008059,PC(18:0/24:1(15Z))
HMDB0008060,PC(18:0/P-16:0)
HMDB0008061,PC(18:0/P-18:0)
HMDB0008062,PC(18:0/P-18:1(11Z))
HMDB0008063,PC(18:0/P-18:1(9Z))
HMDB0008064,PC(18:1(11Z)/14:0)
HMDB0008065,PC(18:1(11Z)/14:1(9Z))
HMDB0008066,PC(18:1(11Z)/15:0)
HMDB0008067,PC(18:1(11Z)/16:0)
HMDB0008068,PC(18:1(11Z)/16:1(9Z))
HMDB0008069,PC(18:1(11Z)/18:0)
HMDB0008070,PC(18:1(11Z)/18:1(11Z))
HMDB0008071,PC(18:1(11Z)/18:1(9Z))
HMDB0008072,"PC(18:1(11Z)/18:2(9Z,12Z))"
HMDB0008073,"PC(18:1(11Z)/18:3(6Z,9Z,12Z))"
HMDB0008074,"PC(18:1(11Z)/18:3(9Z,12Z,15Z))"
HMDB0008075,"PC(18:1(11Z)/18:4(6Z,9Z,12Z,15Z))"
HMDB0008076,PC(18:1(11Z)/20:0)
HMDB0008077,PC(18:1(11Z)/20:1(11Z))
HMDB0008078,"PC(18:1(11Z)/20:2(11Z,14Z))"
HMDB0008079,"PC(18:1(11Z)/20:3(5Z,8Z,11Z))"
HMDB0008080,"PC(18:1(11Z)/20:3(8Z,11Z,14Z))"
HMDB0008081,"PC(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))"
HMDB0008082,"PC(18:1(11Z)/20:4(8Z,11Z,14Z,17Z))"
HMDB0008083,"PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
HMDB0008084,PC(18:1(11Z)/22:0)
HMDB0008085,PC(18:1(11Z)/22:1(13Z))
HMDB0008086,"PC(18:1(11Z)/22:2(13Z,16Z))"
HMDB0008087,"PC(18:1(11Z)/22:4(7Z,10Z,13Z,16Z))"
HMDB0008088,"PC(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
HMDB0008089,"PC(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
HMDB0008090,"PC(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB0008091,PC(18:1(11Z)/24:0)
HMDB0008092,PC(18:1(11Z)/24:1(15Z))
HMDB0008093,PC(18:1(11Z)/P-16:0)
HMDB0008094,PC(18:1(11Z)/P-18:0)
HMDB0008095,PC(18:1(11Z)/P-18:1(11Z))
HMDB0008096,PC(18:1(11Z)/P-18:1(9Z))
HMDB0008097,PC(18:1(9Z)/14:0)
HMDB0008098,PC(18:1(9Z)/14:1(9Z))
HMDB0008099,PC(18:1(9Z)/15:0)
HMDB0008100,PC(18:1(9Z)/16:0)
HMDB0008101,PC(18:1(9Z)/16:1(9Z))
HMDB0008102,PC(18:1(9Z)/18:0)
HMDB0008103,PC(18:1(9Z)/18:1(11Z))
HMDB0008105,"PC(18:1(9Z)/18:2(9Z,12Z))"
HMDB0008106,"PC(18:1(9Z)/18:3(6Z,9Z,12Z))"
HMDB0008107,"PC(18:1(9Z)/18:3(9Z,12Z,15Z))"
HMDB0008108,"PC(18:1(9Z)/18:4(6Z,9Z,12Z,15Z))"
HMDB0008109,PC(18:1(9Z)/20:0)
HMDB0008110,PC(18:1(9Z)/20:1(11Z))
HMDB0008111,"PC(18:1(9Z)/20:2(11Z,14Z))"
HMDB0008112,"PC(18:1(9Z)/20:3(5Z,8Z,11Z))"
HMDB0008113,"PC(18:1(9Z)/20:3(8Z,11Z,14Z))"
HMDB0008114,"PC(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))"
HMDB0008115,"PC(18:1(9Z)/20:4(8Z,11Z,14Z,17Z))"
HMDB0008116,"PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))"
HMDB0008117,PC(18:1(9Z)/22:0)
HMDB0008118,PC(18:1(9Z)/22:1(13Z))
HMDB0008119,"PC(18:1(9Z)/22:2(13Z,16Z))"
HMDB0008120,"PC(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))"
HMDB0008121,"PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))"
HMDB0008122,"PC(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
HMDB0008123,"PC(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
HMDB0008124,PC(18:1(9Z)/24:0)
HMDB0008125,PC(18:1(9Z)/24:1(15Z))
HMDB0008126,PC(18:1(9Z)/P-16:0)
HMDB0008127,PC(18:1(9Z)/P-18:0)
HMDB0008128,PC(18:1(9Z)/P-18:1(11Z))
HMDB0008129,PC(18:1(9Z)/P-18:1(9Z))
HMDB0008130,"PC(18:2(9Z,12Z)/14:0)"
HMDB0008131,"PC(18:2(9Z,12Z)/14:1(9Z))"
HMDB0008132,"PC(18:2(9Z,12Z)/15:0)"
HMDB0008133,"PC(18:2(9Z,12Z)/16:0)"
HMDB0008134,"PC(18:2(9Z,12Z)/16:1(9Z))"
HMDB0008135,"PC(18:2(9Z,12Z)/18:0)"
HMDB0008136,"PC(18:2(9Z,12Z)/18:1(11Z))"
HMDB0008137,"PC(18:2(9Z,12Z)/18:1(9Z))"
HMDB0008138,"PC(18:2(9Z,12Z)/18:2(9Z,12Z))"
HMDB0008139,"PC(18:2(9Z,12Z)/20:3(5Z,8Z,11Z))"
HMDB0008140,"PC(18:2(9Z,12Z)/18:3(6Z,9Z,12Z))"
HMDB0008141,"PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))"
HMDB0008142,"PC(18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))"
HMDB0008143,"PC(18:2(9Z,12Z)/20:0)"
HMDB0008144,"PC(18:2(9Z,12Z)/20:1(11Z))"
HMDB0008145,"PC(18:2(9Z,12Z)/20:2(11Z,14Z))"
HMDB0008146,"PC(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))"
HMDB0008147,"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))"
